,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
2,2022-11-18,600.0,0.001,,0.0005,0.0015,1.0,,407.0,556.0,1667973896.0,,1667973896.0,1667973896.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,,5.0,5.0
4,2022-11-18,800.0,0.001,,0.0035,0.005,1.0,,205.0,681.0,1667973899.0,,1667973899.0,1667973899.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,,2.0,2.0
10,2022-11-18,900.0,0.0005,,0.0075,0.0085,1.0,,277.0,541.0,1667973899.0,,1667973896.0,1667973896.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,,5.0,5.0
8,2022-11-18,1000.0,0.001,,0.014,0.015,1.0,,221.0,513.0,1667973899.0,,1667973899.0,1667973899.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,,2.0,2.0
18,2022-11-18,1100.0,0.001,0.208,0.0245,0.0255,1.0,20.0,119.0,406.0,1667973896.0,1667973896.0,1667973891.0,1667973891.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,10.0,10.0
21,2022-11-18,1150.0,0.126,0.1845,0.0315,0.033,70.0,70.0,119.0,70.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,2.0,6.0,6.0
13,2022-11-18,1200.0,0.116,0.121,0.0415,0.043,199.0,95.0,131.0,579.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,2.0,5.0,5.0
19,2022-11-18,1250.0,0.0915,0.0945,0.054,0.055,225.0,95.0,78.0,246.0,1667973899.0,1667973899.0,1667973898.0,1667973898.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,2.0,3.0,3.0
3,2022-11-18,1300.0,0.0695,0.0705,0.069,0.07,70.0,74.0,115.0,53.0,1667973895.0,1667973895.0,1667973896.0,1667973896.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,6.0,6.0,5.0,5.0
5,2022-11-18,1350.0,0.05,0.051,0.087,0.0895,121.0,116.0,70.0,181.0,1667973895.0,1667973895.0,1667973896.0,1667973896.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,6.0,6.0,5.0,5.0
16,2022-11-18,1400.0,0.0345,0.0355,0.0905,0.1345,235.0,54.0,70.0,70.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,2.0,2.0
17,2022-11-18,1450.0,0.0235,0.0245,0.1125,0.167,123.0,191.0,70.0,70.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,2.0,6.0,6.0
14,2022-11-18,1500.0,0.016,0.0165,0.138,0.2255,18.0,134.0,70.0,2.0,1667973892.0,1667973892.0,1667973899.0,1667973899.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,9.0,9.0,2.0,2.0
0,2022-11-18,1550.0,0.0105,0.011,0.001,0.2545,83.0,70.0,1.0,3.0,1667973897.0,1667973897.0,1667973898.0,1667973898.0,1299.85,1302.1946074249665,1296.0608448790822,1667973901,4.0,4.0,3.0,3.0
20,2022-11-18,1600.0,0.007,0.0075,0.001,,27.0,70.0,1.0,,1667973897.0,1667973897.0,1667973897.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,4.0,4.0,4.0,
12,2022-11-18,1650.0,0.0045,0.0055,0.0015,,675.0,200.0,3.0,,1667973896.0,1667973896.0,1667973895.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,6.0,
7,2022-11-18,1700.0,0.0035,0.004,,,98.0,123.0,,,1667973896.0,1667973896.0,,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,,
1,2022-11-18,1750.0,0.0025,0.0035,,,953.0,349.0,,,1667973896.0,1667973896.0,,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,,
9,2022-11-18,1800.0,0.002,0.003,0.001,,931.0,719.0,1.0,,1667973896.0,1667973896.0,1667973894.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,7.0,
11,2022-11-18,1900.0,0.0015,0.002,0.001,,128.0,49.0,1.0,,1667973899.0,1667973899.0,1667973894.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,2.0,2.0,7.0,
15,2022-11-18,2000.0,0.0005,0.0015,0.001,,449.0,427.0,1.0,,1667973896.0,1667973896.0,1667973899.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,2.0,
6,2022-11-18,2200.0,0.0005,0.001,0.001,,50.0,399.0,1.0,,1667973896.0,1667973896.0,1667973899.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,5.0,5.0,2.0,
25,2022-11-18,2400.0,,0.0005,0.001,,,1.0,1.0,,,1667973896.0,1667973894.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,,5.0,7.0,
24,2022-11-18,2600.0,,0.0005,0.001,,,1.0,1.0,,,1667973896.0,1667973894.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,,5.0,7.0,
22,2022-11-18,2800.0,,0.0005,0.001,,,10.0,1.0,,,1667973896.0,1667973899.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,,5.0,2.0,
23,2022-11-18,3000.0,,0.0005,0.001,,,408.0,1.0,,,1667973896.0,1667973899.0,,1299.85,1302.1946074249665,1296.0608448790822,1667973901,,5.0,2.0,
