,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
10,2022-11-25,600.0,0.001,,0.0015,0.002,1.0,,1.0,64.0,1667973896.0,,1667973896.0,1667973896.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,5.0,,5.0,5.0
16,2022-11-25,700.0,0.001,,0.0025,0.004,1.0,,620.0,74.0,1667973896.0,,1667973896.0,1667973896.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,5.0,,5.0,5.0
17,2022-11-25,800.0,0.001,,0.0065,0.0075,1.0,,207.0,378.0,1667973896.0,,1667973898.0,1667973898.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,5.0,,3.0,3.0
8,2022-11-25,900.0,0.001,,0.012,0.013,1.0,,200.0,186.0,1667973899.0,,1667973897.0,1667973897.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,2.0,,4.0,4.0
7,2022-11-25,1000.0,0.001,,0.0205,0.0215,1.0,,168.0,106.0,1667973898.0,,1667973892.0,1667973892.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,3.0,,9.0,9.0
21,2022-11-25,1050.0,0.001,0.265,0.0265,0.0275,1.0,22.0,127.0,183.0,1667973899.0,1667973899.0,1667973898.0,1667973898.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,2.0,2.0,3.0,3.0
20,2022-11-25,1100.0,0.186,0.191,0.034,0.035,176.0,195.0,120.0,192.0,1667973897.0,1667973897.0,1667973895.0,1667973895.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,4.0,4.0,6.0,6.0
5,2022-11-25,1150.0,0.1555,0.161,0.043,0.044,198.0,173.0,117.0,95.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,2.0,2.0,2.0,2.0
4,2022-11-25,1200.0,0.1285,0.1335,0.054,0.0555,178.0,70.0,111.0,154.0,1667973898.0,1667973898.0,1667973899.0,1667973899.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,3.0,3.0,2.0,2.0
2,2022-11-25,1250.0,0.1055,0.1095,0.068,0.0695,198.0,205.0,108.0,529.0,1667973898.0,1667973898.0,1667973897.0,1667973897.0,1300.6,1302.1946074249665,1298.9923331444206,1667973901,3.0,3.0,4.0,4.0
