,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
6,2022-11-11,10000.0,0.508,,,0.0005,11.0,,,43.1,1667549746.0,,,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8895.0,,,6.0
11,2022-11-11,11000.0,0.456,,,0.0005,11.0,,,45.1,1667549748.0,,,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8893.0,,,6.0
12,2022-11-11,12000.0,0.409,,,0.0005,40.6,,,45.1,1667549752.0,,,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8889.0,,,4.0
4,2022-11-11,13000.0,0.361,,,0.0005,40.5,,,47.1,1667549751.0,,,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8890.0,,,4.0
28,2022-11-11,14000.0,,,,0.0005,,,,61.4,,,,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,,,,4.0
9,2022-11-11,15000.0,0.258,,,0.0005,41.4,,,40.5,1667549754.0,,,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8887.0,,,4.0
7,2022-11-11,16000.0,0.207,,,0.0005,8.0,,,10.0,1667549757.0,,,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8884.0,,,4.0
8,2022-11-11,16500.0,0.189,,,0.001,8.0,,,88.5,1667549755.0,,,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8886.0,,,6.0
27,2022-11-11,17000.0,,,0.0005,0.001,,,42.0,81.7,,,1667558633.0,1667558633.0,20606.5,20602.307499347004,20528.07179383384,1667558641,,,8.0,8.0
5,2022-11-11,17500.0,0.1405,,0.0005,0.001,7.0,,173.2,12.3,1667549756.0,,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8885.0,,4.0,4.0
16,2022-11-11,18000.0,0.1105,,0.001,0.0015,41.7,,118.9,12.8,1667549760.0,,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8881.0,,4.0,4.0
13,2022-11-11,18500.0,0.081,,0.002,0.0025,7.0,,57.1,51.5,1667549761.0,,1667558635.0,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8880.0,,6.0,6.0
2,2022-11-11,19000.0,0.079,0.0855,0.0035,0.004,19.0,26.0,50.3,47.3,1667558637.0,1667558637.0,1667558635.0,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,4.0,4.0,6.0,6.0
0,2022-11-11,19500.0,0.0585,0.061,0.006,0.007,15.6,5.4,120.9,62.8,1667558635.0,1667558635.0,1667558633.0,1667558633.0,20606.5,20602.307499347004,20528.07179383384,1667558641,6.0,6.0,8.0,8.0
1,2022-11-11,20000.0,0.0405,0.0415,0.0115,0.012,10.0,6.0,11.4,102.7,1667558634.0,1667558634.0,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,7.0,7.0,4.0,4.0
17,2022-11-11,20500.0,0.0255,0.0265,0.0205,0.0215,13.7,16.0,14.1,146.8,1667558637.0,1667558637.0,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,4.0,4.0,4.0,4.0
14,2022-11-11,21000.0,0.015,0.016,0.034,0.035,19.6,38.4,16.7,1.0,1667558633.0,1667558633.0,1667558633.0,1667558633.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8.0,8.0,8.0,8.0
15,2022-11-11,21500.0,0.0085,0.009,0.051,0.055,5.1,6.4,9.1,21.6,1667558633.0,1667558633.0,1667558635.0,1667558635.0,20606.5,20602.307499347004,20528.07179383384,1667558641,8.0,8.0,6.0,6.0
3,2022-11-11,22000.0,0.0045,0.005,0.0715,0.122,40.1,6.9,4.4,44.0,1667558635.0,1667558635.0,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,6.0,6.0,4.0,4.0
10,2022-11-11,23000.0,0.0015,0.002,0.0965,,25.7,78.6,6.0,,1667558637.0,1667558637.0,1667549767.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,4.0,4.0,8874.0,
22,2022-11-11,24000.0,,0.001,0.0005,,,97.4,0.1,,,1667558637.0,1667558637.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,4.0,4.0,
25,2022-11-11,25000.0,,0.0005,0.0005,,,9.2,0.1,,,1667558637.0,1667558637.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,4.0,4.0,
23,2022-11-11,26000.0,,0.0005,0.0005,0.9,,58.1,0.1,1.0,,1667558637.0,1667558637.0,1667558637.0,20606.5,20602.307499347004,20528.07179383384,1667558641,,4.0,4.0,4.0
26,2022-11-11,27000.0,,0.0005,0.0005,,,78.8,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
24,2022-11-11,28000.0,,0.0005,0.0005,,,50.7,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
19,2022-11-11,29000.0,,0.0005,0.0005,,,51.1,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
21,2022-11-11,30000.0,,0.0005,0.0005,,,51.1,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
20,2022-11-11,31000.0,,0.0005,0.0005,,,54.1,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
18,2022-11-11,32000.0,,0.0005,0.0005,,,45.1,0.1,,,1667558635.0,1667558635.0,,20606.5,20602.307499347004,20528.07179383384,1667558641,,6.0,6.0,
