,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
2,2022-11-9,1000.0,0.0005,,,0.001,1.0,,,251.0,1667973896.0,,,1667973896.0,,1302.2862053446843,1302.8697152213322,1667973901,5.0,,,5.0
4,2022-11-9,1100.0,0.0005,,,0.001,1.0,,,646.0,1667973899.0,,,1667973896.0,,1302.2862053446843,1302.8697152213322,1667973901,2.0,,,5.0
3,2022-11-9,1200.0,0.0005,,,0.0005,1.0,,,20.0,1667973899.0,,,1667973896.0,,1302.2862053446843,1302.8697152213322,1667973901,2.0,,,5.0
5,2022-11-9,1250.0,0.0005,,0.001,0.002,1.0,,51.0,91.0,1667973899.0,,1667973899.0,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,2.0,,2.0,2.0
6,2022-11-9,1275.0,0.019,0.029,0.0025,0.0035,12.0,17.0,28.0,16.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,2.0,2.0,2.0,2.0
1,2022-11-9,1300.0,0.0085,0.011,0.0065,0.0085,67.0,54.0,6.0,234.0,1667973899.0,1667973899.0,1667973894.0,1667973894.0,,1302.2862053446843,1302.8697152213322,1667973901,2.0,2.0,7.0,7.0
0,2022-11-9,1325.0,0.0015,0.003,0.0175,0.0205,111.0,223.0,36.0,44.0,1667973897.0,1667973897.0,1667973895.0,1667973895.0,,1302.2862053446843,1302.8697152213322,1667973901,4.0,4.0,6.0,6.0
24,2022-11-9,1350.0,,0.001,,0.06,,70.0,,1.0,,1667973897.0,,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,4.0,,2.0
22,2022-11-9,1375.0,,0.001,0.0005,0.07,,246.0,1.0,2.0,,1667973896.0,1667973899.0,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,2.0
7,2022-11-9,1400.0,,0.001,0.0005,,,246.0,30.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
10,2022-11-9,1425.0,,0.0005,0.09,0.095,,32.0,14.0,14.0,,1667973896.0,1667973899.0,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,2.0
23,2022-11-9,1450.0,,0.0005,0.0005,0.135,,1.0,20.0,1.0,,1667973896.0,1667973899.0,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,2.0
21,2022-11-9,1475.0,,0.0005,0.018,,,1.0,1.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
18,2022-11-9,1500.0,,0.0005,0.012,,,1.0,4.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
19,2022-11-9,1525.0,,0.0005,0.001,,,10.0,1.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
12,2022-11-9,1550.0,,0.0005,,0.21,,10.0,,2.0,,1667973896.0,,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,2.0
20,2022-11-9,1575.0,,0.0005,,,,10.0,,,,1667973896.0,,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,
8,2022-11-9,1600.0,,0.0005,,0.25,,10.0,,1.0,,1667973896.0,,1667973899.0,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,2.0
13,2022-11-9,1625.0,,0.0005,,,,10.0,,,,1667973896.0,,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,
14,2022-11-9,1650.0,,0.0005,,,,7.0,,,,1667973896.0,,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,
11,2022-11-9,1675.0,,0.0005,,,,2.0,,,,1667973896.0,,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,
15,2022-11-9,1700.0,,0.0005,,,,2.0,,,,1667973896.0,,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,,
17,2022-11-9,1750.0,,0.0005,0.001,,,26.0,1.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
9,2022-11-9,1800.0,,0.0005,0.001,,,2.0,1.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
16,2022-11-9,1900.0,,0.0005,0.001,,,30.0,1.0,,,1667973896.0,1667973899.0,,,1302.2862053446843,1302.8697152213322,1667973901,,5.0,2.0,
