,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
24,2022-11-9,15000.0,,,,0.0005,,,,36.1,,,,1667973896.0,,18385.473714940763,18384.25925925926,1667973902,,,,6.0
2,2022-11-9,16000.0,0.03,,,0.0005,100.0,,,31.0,1667973898.0,,,1667973899.0,,18385.473714940763,18384.25925925926,1667973902,4.0,,,3.0
4,2022-11-9,16500.0,0.002,,,0.0005,10.0,,,38.1,1667973897.0,,,1667973896.0,,18385.473714940763,18384.25925925926,1667973902,5.0,,,6.0
3,2022-11-9,17000.0,0.02,,,0.0005,100.0,,,13.3,1667973897.0,,,1667973896.0,,18385.473714940763,18384.25925925926,1667973902,5.0,,,6.0
23,2022-11-9,17500.0,,,,0.0005,,,,0.5,,,,1667973897.0,,18385.473714940763,18384.25925925926,1667973902,,,,5.0
22,2022-11-9,17750.0,,,0.0005,0.001,,,0.1,25.2,,,1667973896.0,1667973896.0,,18385.473714940763,18384.25925925926,1667973902,,,6.0,6.0
1,2022-11-9,18000.0,0.0195,0.0245,0.001,0.0015,3.4,6.3,0.1,25.5,1667973897.0,1667973897.0,1667973896.0,1667973896.0,,18385.473714940763,18384.25925925926,1667973902,5.0,5.0,6.0,6.0
0,2022-11-9,18250.0,0.0085,0.011,0.002,0.003,15.7,5.6,19.5,9.5,1667973899.0,1667973899.0,1667973898.0,1667973898.0,,18385.473714940763,18384.25925925926,1667973902,3.0,3.0,4.0,4.0
5,2022-11-9,18500.0,0.0015,0.0025,0.007,0.0095,24.5,10.7,7.4,16.3,1667973890.0,1667973890.0,1667973899.0,1667973899.0,,18385.473714940763,18384.25925925926,1667973902,12.0,12.0,3.0,3.0
16,2022-11-9,18750.0,,0.0005,,,,9.6,,,,1667973898.0,,,,18385.473714940763,18384.25925925926,1667973902,,4.0,,
8,2022-11-9,19000.0,,0.0005,,,,19.4,,,,1667973899.0,,,,18385.473714940763,18384.25925925926,1667973902,,3.0,,
6,2022-11-9,19250.0,,0.0005,0.0005,,,48.5,1.2,,,1667973896.0,1667973897.0,,,18385.473714940763,18384.25925925926,1667973902,,6.0,5.0,
21,2022-11-9,19500.0,,0.0005,0.0005,,,26.5,0.5,,,1667973896.0,1667973897.0,,,18385.473714940763,18384.25925925926,1667973902,,6.0,5.0,
18,2022-11-9,19750.0,,0.0005,0.001,,,21.5,0.2,,,1667973896.0,1667973897.0,,,18385.473714940763,18384.25925925926,1667973902,,6.0,5.0,
11,2022-11-9,20000.0,,0.0005,0.001,,,30.0,1.0,,,1667973896.0,1667973898.0,,,18385.473714940763,18384.25925925926,1667973902,,6.0,4.0,
17,2022-11-9,20250.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
10,2022-11-9,20500.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
12,2022-11-9,20750.0,,0.0005,,,,41.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
14,2022-11-9,21000.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
19,2022-11-9,21250.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
15,2022-11-9,21500.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
20,2022-11-9,22000.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
9,2022-11-9,22500.0,,0.0005,,,,26.0,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
7,2022-11-9,23000.0,,0.0005,,,,26.1,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
13,2022-11-9,24000.0,,0.0005,,,,26.1,,,,1667973896.0,,,,18385.473714940763,18384.25925925926,1667973902,,6.0,,
