,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
25,2022-11-10,700.0,,,,0.001,,,,304.0,,,,1667973896.0,,1302.1946074249665,1302.8819684475607,1667973901,,,,5.0
26,2022-11-10,800.0,,,,0.001,,,,304.0,,,,1667973896.0,,1302.1946074249665,1302.8819684475607,1667973901,,,,5.0
24,2022-11-10,900.0,,,,0.001,,,,4.0,,,,1667973897.0,,1302.1946074249665,1302.8819684475607,1667973901,,,,4.0
21,2022-11-10,1000.0,,,0.0015,0.002,,,110.0,4.0,,,1667973896.0,1667973896.0,,1302.1946074249665,1302.8819684475607,1667973901,,,5.0,5.0
20,2022-11-10,1100.0,,,0.004,0.005,,,123.0,182.0,,,1667973891.0,1667973891.0,,1302.1946074249665,1302.8819684475607,1667973901,,,10.0,10.0
23,2022-11-10,1150.0,,,0.0065,0.0075,,,98.0,290.0,,,1667973897.0,1667973897.0,,1302.1946074249665,1302.8819684475607,1667973901,,,4.0,4.0
22,2022-11-10,1200.0,,,0.0105,0.0115,,,71.0,153.0,,,1667973895.0,1667973895.0,,1302.1946074249665,1302.8819684475607,1667973901,,,6.0,6.0
12,2022-11-10,1225.0,0.0485,0.0785,0.013,0.014,70.0,2.0,97.0,70.0,1667973899.0,1667973899.0,1667973890.0,1667973890.0,,1302.1946074249665,1302.8819684475607,1667973901,2.0,2.0,11.0,11.0
10,2022-11-10,1250.0,0.056,0.0615,0.0165,0.018,93.0,205.0,145.0,182.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,,1302.1946074249665,1302.8819684475607,1667973901,2.0,2.0,5.0,5.0
5,2022-11-10,1275.0,0.0415,0.0475,0.0215,0.023,95.0,93.0,72.0,120.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,,1302.1946074249665,1302.8819684475607,1667973901,2.0,2.0,6.0,6.0
7,2022-11-10,1300.0,0.0305,0.032,0.0285,0.03,8.0,286.0,77.0,329.0,1667973896.0,1667973896.0,1667973898.0,1667973898.0,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,3.0,3.0
2,2022-11-10,1325.0,0.02,0.021,0.0365,0.0385,9.0,110.0,127.0,71.0,1667973898.0,1667973898.0,1667973892.0,1667973892.0,,1302.1946074249665,1302.8819684475607,1667973901,3.0,3.0,9.0,9.0
0,2022-11-10,1350.0,0.012,0.0135,0.042,0.052,336.0,183.0,92.0,99.0,1667973895.0,1667973895.0,1667973899.0,1667973899.0,,1302.1946074249665,1302.8819684475607,1667973901,6.0,6.0,2.0,2.0
11,2022-11-10,1375.0,0.007,0.0075,0.0365,0.0785,295.0,5.0,70.0,1.0,1667973892.0,1667973892.0,1667973894.0,1667973894.0,,1302.1946074249665,1302.8819684475607,1667973901,9.0,9.0,7.0,7.0
1,2022-11-10,1400.0,0.004,0.0045,0.055,,124.0,5.0,65.0,,1667973896.0,1667973896.0,1667973899.0,,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,2.0,
9,2022-11-10,1425.0,0.0025,0.0035,0.0005,,46.0,339.0,30.0,,1667973896.0,1667973896.0,1667973899.0,,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,2.0,
4,2022-11-10,1450.0,0.0015,0.002,,,109.0,25.0,,,1667973899.0,1667973899.0,,,,1302.1946074249665,1302.8819684475607,1667973901,2.0,2.0,,
8,2022-11-10,1475.0,0.0005,0.002,,,460.0,407.0,,,1667973896.0,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,,
6,2022-11-10,1500.0,0.0005,0.001,,,142.0,79.0,,,1667973896.0,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,,
3,2022-11-10,1525.0,0.0005,0.001,,,10.0,79.0,,,1667973896.0,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,5.0,5.0,,
13,2022-11-10,1550.0,,0.001,,,,100.0,,,,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,,
17,2022-11-10,1575.0,,0.0015,,,,454.0,,,,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,,
18,2022-11-10,1600.0,,0.0015,0.001,,,454.0,1.0,,,1667973896.0,1667973899.0,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,2.0,
14,2022-11-10,1650.0,,0.0005,,,,8.0,,,,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,,
19,2022-11-10,1700.0,,0.001,,,,454.0,,,,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,,
15,2022-11-10,1750.0,,0.001,,,,304.0,,,,1667973896.0,,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,,
16,2022-11-10,1800.0,,0.001,0.001,,,463.0,1.0,,,1667973896.0,1667973899.0,,,1302.1946074249665,1302.8819684475607,1667973901,,5.0,2.0,
