,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
15,2022-11-18,19000.0,0.0855,0.0885,0.0095,0.01,21.7,5.3,11.2,32.6,1667558635.0,1667558635.0,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,6.0,6.0
20,2022-11-18,19500.0,0.066,0.0705,0.014,0.015,17.3,16.8,37.0,49.0,1667558635.0,1667558635.0,1667558637.0,1667558637.0,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,4.0,4.0
1,2022-11-18,20000.0,0.05,0.052,0.021,0.022,20.0,9.5,40.4,13.5,1667558635.0,1667558635.0,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,6.0,6.0
11,2022-11-18,20500.0,0.0365,0.0375,0.031,0.032,14.2,13.6,20.5,15.3,1667558633.0,1667558633.0,1667558633.0,1667558633.0,,20602.307499347004,20609.504252129896,1667558641,8.0,8.0,8.0,8.0
0,2022-11-18,21000.0,0.0255,0.0265,0.044,0.045,14.3,71.7,9.4,1.0,1667558637.0,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,4.0,4.0,6.0,6.0
10,2022-11-18,21500.0,0.017,0.018,0.0585,0.0625,19.3,80.5,16.6,15.0,1667558638.0,1667558638.0,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,3.0,3.0,6.0,6.0
3,2022-11-18,22000.0,0.011,0.012,0.0765,0.0815,19.3,90.5,16.4,14.4,1667558637.0,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,4.0,4.0,6.0,6.0
4,2022-11-18,23000.0,0.0045,0.005,,,27.0,12.4,,,1667558637.0,1667558637.0,,,,20602.307499347004,20609.504252129896,1667558641,4.0,4.0,,
21,2022-11-18,24000.0,0.002,0.0025,0.1505,,25.5,93.3,3.0,,1667558635.0,1667558635.0,1667549263.0,,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,9378.0,
18,2022-11-18,25000.0,0.0005,0.0015,0.193,,127.7,70.0,30.0,,1667558635.0,1667558635.0,1667549261.0,,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,9380.0,
12,2022-11-18,26000.0,0.0005,0.001,0.2445,,5.4,77.8,30.0,,1667558633.0,1667558633.0,1667549255.0,,,20602.307499347004,20609.504252129896,1667558641,8.0,8.0,9386.0,
9,2022-11-18,27000.0,0.0005,0.001,,,2.4,89.6,,,1667558635.0,1667558635.0,,,,20602.307499347004,20609.504252129896,1667558641,6.0,6.0,,
25,2022-11-18,28000.0,,0.0005,0.34,,,0.3,20.0,,,1667558635.0,1667549258.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9383.0,
24,2022-11-18,29000.0,,0.0005,0.385,,,46.7,20.0,,,1667558635.0,1667549254.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9387.0,
23,2022-11-18,30000.0,,0.0005,0.433,,,43.5,20.0,,,1667558635.0,1667549251.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9390.0,
22,2022-11-18,31000.0,,0.0005,,,,43.0,,,,1667558635.0,,,,20602.307499347004,20609.504252129896,1667558641,,6.0,,
28,2022-11-18,32000.0,,0.0005,0.5285,,,43.0,20.0,,,1667558635.0,1667549253.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9388.0,
26,2022-11-18,33000.0,,0.0005,0.5795,,,43.1,20.0,,,1667558635.0,1667549251.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9390.0,
27,2022-11-18,34000.0,,0.0005,0.6235,,,43.1,2.0,,,1667558635.0,1667549250.0,,,20602.307499347004,20609.504252129896,1667558641,,6.0,9391.0,
