,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
19,2022-11-18,11000.0,0.4655,,,0.0005,11.9,,,43.7,1667549773.0,,,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8868.0,,,6.0
17,2022-11-18,12000.0,0.4105,,,0.0005,39.5,,,2.0,1667549773.0,,,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8868.0,,,6.0
13,2022-11-18,13000.0,0.3575,,,0.0005,6.0,,,2.0,1667549775.0,,,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8866.0,,,6.0
6,2022-11-18,14000.0,0.316,,,0.0005,32.3,,,1.0,1667549774.0,,,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8867.0,,,6.0
5,2022-11-18,15000.0,0.268,,0.0005,0.001,5.0,,102.4,25.2,1667549777.0,,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8864.0,,6.0,6.0
16,2022-11-18,16000.0,0.212,,0.001,0.002,5.0,,106.2,146.8,1667549781.0,,1667558633.0,1667558633.0,,20602.307499347004,20609.504252129896,1667558641,8860.0,,8.0,8.0
7,2022-11-18,17000.0,0.176,,0.002,0.0025,19.5,,95.1,0.5,1667549783.0,,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8858.0,,6.0,6.0
14,2022-11-18,17500.0,0.1505,,0.003,0.0035,5.0,,33.7,15.3,1667549781.0,,1667558637.0,1667558637.0,,20602.307499347004,20609.504252129896,1667558641,8860.0,,4.0,4.0
2,2022-11-18,18000.0,0.1295,,0.0045,0.005,20.2,,4.0,105.9,1667549784.0,,1667558635.0,1667558635.0,,20602.307499347004,20609.504252129896,1667558641,8857.0,,6.0,6.0
8,2022-11-18,18500.0,0.104,,0.0065,0.007,31.6,,4.0,194.3,1667549785.0,,1667558633.0,1667558633.0,,20602.307499347004,20609.504252129896,1667558641,8856.0,,8.0,8.0
